レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
芦　屋,1,サンライズＶ,晴,西,6,6,01,3,4129,宇 野 博 之,14,22,6.95,3,0.11,1.50.7
芦　屋,1,サンライズＶ,晴,西,6,6,02,1,4515,藤 田 浩 人,16,44,6.92,1,0.10,1.51.2
芦　屋,1,サンライズＶ,晴,西,6,6,03,5,4111,奥 田 誠,45,57,6.93,5,0.16,1.52.3
芦　屋,1,サンライズＶ,晴,西,6,6,04,2,3730,塩 崎 優 司,30,23,7.01,2,0.12,1.53.7
芦　屋,1,サンライズＶ,晴,西,6,6,05,6,3614,谷 勝 幸,26,64,6.92,6,0.15,
芦　屋,1,サンライズＶ,晴,西,6,6,06,4,3224,栗 山 繁 洋,53,46,6.85,4,0.18,
芦　屋,2,サンライズＷ,晴,北西,6,6,01,3,5286,坂 井 滉 哉,55,34,6.93,3,0.12,1.49.6
芦　屋,2,サンライズＷ,晴,北西,6,6,02,1,3643,米 田 隆 弘,24,51,6.91,1,0.11,1.51.0
芦　屋,2,サンライズＷ,晴,北西,6,6,03,4,4427,秦 英 悟,42,11,6.89,4,0.11,1.52.2
芦　屋,2,サンライズＷ,晴,北西,6,6,04,5,3587,武 田 信 一,40,19,6.91,5,0.13,1.53.6
芦　屋,2,サンライズＷ,晴,北西,6,6,05,6,3741,松 尾 基 成,41,37,6.93,6,0.18,
芦　屋,2,サンライズＷ,晴,北西,6,6,06,2,5137,川 原 涼,44,14,6.89,2,0.15,
芦　屋,3,サンライズＸ,晴,北西,6,6,01,1,4873,蒲 原 健 太,28,45,6.86,1,0.07,1.50.4
芦　屋,3,サンライズＸ,晴,北西,6,6,02,2,4969,町 田 洸 希,43,48,6.97,2,0.07,1.51.4
芦　屋,3,サンライズＸ,晴,北西,6,6,03,3,3908,重 成 一 人,39,16,6.80,3,0.08,1.52.9
芦　屋,3,サンライズＸ,晴,北西,6,6,04,5,5018,竹 下 大 樹,20,41,6.88,5,0.07,1.53.7
芦　屋,3,サンライズＸ,晴,北西,6,6,05,4,5328,井 上 慧 人,21,18,6.80,4,0.11,
芦　屋,3,サンライズＸ,晴,北西,6,6,06,6,5321,一 色 颯 輝,11,13,6.79,6,0.10,
芦　屋,4,サンライズＹ  進入固定,晴,北西,6,6,01,2,4034,西 原 明 生,59,54,6.86,2,0.13,1.50.0
芦　屋,4,サンライズＹ  進入固定,晴,北西,6,6,02,1,4044,湯 川 浩 司,15,26,6.84,1,0.15,1.51.7
芦　屋,4,サンライズＹ  進入固定,晴,北西,6,6,04,4,3361,岡 部 浩,52,20,6.89,4,0.26,1.54.4
芦　屋,4,サンライズＹ  進入固定,晴,北西,6,6,05,6,5044,渡 邉 健,51,27,6.90,6,0.17,
芦　屋,4,サンライズＹ  進入固定,晴,北西,6,6,06,3,4176,樋 口 喜 彦,23,42,6.94,3,0.11,
芦　屋,5,サンライズＺ,晴,北西,6,6,01,1,4588,田 中 京 介,31,32,6.90,1,0.16,1.49.9
芦　屋,5,サンライズＺ,晴,北西,6,6,02,4,4035,杉 江 浩 明,54,56,6.90,4,0.13,1.51.1
芦　屋,5,サンライズＺ,晴,北西,6,6,04,2,3224,栗 山 繁 洋,53,46,6.87,2,0.21,1.54.2
芦　屋,5,サンライズＺ,晴,北西,6,6,06,6,5369,岡 崎 凪 汰,19,43,6.81,6,0.07,
芦　屋,6,一般,晴,北西,6,6,01,2,3656,伯 母 芳 恒,36,35,6.93,2,0.19,1.49.8
芦　屋,6,一般,晴,北西,6,6,03,6,4330,奈 須 啓 太,33,24,6.91,6,0.15,1.53.3
芦　屋,6,一般,晴,北西,6,6,04,3,3643,米 田 隆 弘,24,51,6.92,3,0.18,1.53.9
芦　屋,6,一般,晴,北西,6,6,05,5,3233,小 畑 実 成,27,53,6.90,5,0.13,
芦　屋,6,一般,晴,北西,6,6,06,4,4111,奥 田 誠,45,57,6.91,4,0.16,
芦　屋,7,一般　　　　  進入固定,晴,北西,6,6,01,2,5321,一 色 颯 輝,11,13,6.76,2,0.03,1.49.9
芦　屋,7,一般　　　　  進入固定,晴,北西,6,6,02,1,3587,武 田 信 一,40,19,6.85,1,0.01,1.51.1
芦　屋,7,一般　　　　  進入固定,晴,北西,6,6,03,4,5286,坂 井 滉 哉,55,34,6.84,4,0.14,1.52.3
芦　屋,7,一般　　　　  進入固定,晴,北西,6,6,04,5,4129,宇 野 博 之,14,22,6.94,5,0.04,1.53.9
芦　屋,7,一般　　　　  進入固定,晴,北西,6,6,05,6,5328,井 上 慧 人,21,18,6.75,6,0.06,
芦　屋,8,一般,晴,北西,6,6,02,1,3361,岡 部 浩,52,20,6.82,1,0.19,1.50.8
芦　屋,8,一般,晴,北西,6,6,03,3,5137,川 原 涼,44,14,6.76,3,0.07,1.52.3
芦　屋,8,一般,晴,北西,6,6,04,5,3730,塩 崎 優 司,30,23,6.89,5,0.09,1.53.5
芦　屋,8,一般,晴,北西,6,6,06,4,3614,谷 勝 幸,26,64,6.84,4,0.14,
芦　屋,9,アシ夢特選,晴,北西,6,6,02,6,4969,町 田 洸 希,43,48,6.87,6,0.19,1.51.4
芦　屋,9,アシ夢特選,晴,北西,6,6,03,5,4034,西 原 明 生,59,54,6.85,5,0.21,1.52.4
芦　屋,9,アシ夢特選,晴,北西,6,6,04,1,5018,竹 下 大 樹,20,41,6.80,1,0.24,1.53.5
芦　屋,9,アシ夢特選,晴,北西,6,6,06,2,4035,杉 江 浩 明,54,56,6.91,2,0.27,
芦　屋,10,選抜戦,晴,北西,6,6,01,4,4515,藤 田 浩 人,16,44,6.93,4,0.21,1.50.4
芦　屋,10,選抜戦,晴,北西,6,6,02,5,3741,松 尾 基 成,41,37,6.90,5,0.19,1.52.3
芦　屋,10,選抜戦,晴,北西,6,6,03,3,4873,蒲 原 健 太,28,45,6.86,3,0.23,1.52.9
芦　屋,10,選抜戦,晴,北西,6,6,04,6,3233,小 畑 実 成,27,53,6.93,6,0.18,1.53.8
芦　屋,10,選抜戦,晴,北西,6,6,05,2,3908,重 成 一 人,39,16,6.89,2,0.25,
芦　屋,10,選抜戦,晴,北西,6,6,06,1,4330,奈 須 啓 太,33,24,6.87,1,0.25,
芦　屋,11,選抜戦,晴,北西,6,6,01,1,4427,秦 英 悟,42,11,6.85,1,0.09,1.56.0
芦　屋,11,選抜戦,晴,北西,6,6,02,4,4588,田 中 京 介,31,32,6.94,4,0.07,1.58.3
芦　屋,11,選抜戦,晴,北西,6,6,05,3,3656,伯 母 芳 恒,36,35,6.92,3,0.11,
芦　屋,12,優勝戦,晴,北西,6,6,01,1,3849,中 岡 正 彦,47,69,6.87,1,0.07,1.48.3
芦　屋,12,優勝戦,晴,北西,6,6,03,3,5029,中 亮 太,38,66,6.84,3,0.05,1.51.0
芦　屋,12,優勝戦,晴,北西,6,6,05,2,3841,佐々木 和 伸,56,17,6.88,2,0.09,
芦　屋,12,優勝戦,晴,北西,6,6,06,6,4839,四 宮 与 寛,29,39,6.83,6,0.14,
徳　山,1,朝トク予選,晴,北東,4,4,01,1,3684,清 水 攻 二,24,73,6.95,1,0.06,1.50.7
徳　山,1,朝トク予選,晴,北東,4,4,02,3,3964,宮 地 博 士,23,58,7.00,3,0.09,1.52.3
徳　山,1,朝トク予選,晴,北東,4,4,03,5,4708,半 田 尚 也,47,54,7.08,5,0.04,1.54.8
徳　山,1,朝トク予選,晴,北東,4,4,04,2,3617,竹 田 広 樹,55,20,6.96,2,0.12,1.56.9
徳　山,1,朝トク予選,晴,北東,4,4,05,6,5351,齊 藤 廉,32,68,6.96,6,0.05,
徳　山,1,朝トク予選,晴,北東,4,4,06,4,3340,池 田 雷 太,21,59,6.92,4,0.09,
徳　山,2,狙いトク特選,晴,北東,5,5,01,2,3548,室 田 泰 史,19,26,6.93,2,0.05,1.50.0
徳　山,2,狙いトク特選,晴,北東,5,5,02,1,4294,古 賀 繁 輝,58,18,6.94,1,0.05,1.51.5
徳　山,2,狙いトク特選,晴,北東,5,5,03,3,3848,川 上 聡 介,16,52,7.04,3,0.08,1.53.2
徳　山,2,狙いトク特選,晴,北東,5,5,04,5,5092,篠 原 晟 弥,43,74,6.93,5,0.14,1.53.7
徳　山,2,狙いトク特選,晴,北東,5,5,05,6,4416,三 宅 健 太,59,70,6.94,6,0.18,
徳　山,2,狙いトク特選,晴,北東,5,5,06,4,4594,谷 川 祐 一,34,24,6.99,4,0.16,
徳　山,3,決めトク予選,晴,北東,7,7,01,2,4245,高 橋 直 哉,35,49,6.97,2,0.21,1.53.2
徳　山,3,決めトク予選,晴,北東,7,7,02,3,5091,為 本 智 也,54,51,6.90,3,0.20,1.55.0
徳　山,3,決めトク予選,晴,北東,7,7,03,1,4926,吉 川 貴 仁,49,33,6.85,1,0.20,1.55.3
徳　山,3,決めトク予選,晴,北東,7,7,04,4,4866,橋 本 英 一,36,72,6.96,4,0.26,1.57.1
徳　山,3,決めトク予選,晴,北東,7,7,05,5,4308,河 村 了,30,65,6.98,5,0.37,
徳　山,3,決めトク予選,晴,北東,7,7,06,6,5343,小 林 礼 央,40,44,6.92,6,0.45,
徳　山,4,ガチトク予選,晴,北東,7,7,01,1,4409,坂 元 浩 仁,28,71,7.03,1,0.21,1.57.6
徳　山,4,ガチトク予選,晴,北東,7,7,02,4,5007,近 藤 雄一郎,22,45,7.01,4,0.28,1.59.0
徳　山,4,ガチトク予選,晴,北東,7,7,03,2,3616,中 村 真,56,67,7.09,2,0.21,2.02.6
徳　山,4,ガチトク予選,晴,北東,7,7,04,5,4962,畑 竜 生,60,13,7.10,5,0.23,2.07.8
徳　山,5,買っトク特賞,晴,北,6,6,01,2,5261,岡 暢 祐,52,17,7.05,2,0.25,1.53.5
徳　山,5,買っトク特賞,晴,北,6,6,02,6,4228,吉 田 慎二郎,51,12,7.04,6,0.27,1.54.5
徳　山,5,買っトク特賞,晴,北,6,6,03,1,4022,待 鳥 雄 紀,39,69,7.07,1,0.13,1.56.6
徳　山,5,買っトク特賞,晴,北,6,6,04,4,4503,上 野 真之介,53,32,7.03,4,0.18,1.57.6
徳　山,5,買っトク特賞,晴,北,6,6,05,3,3054,北 川 幸 典,57,63,7.07,3,0.24,
徳　山,5,買っトク特賞,晴,北,6,6,06,5,4813,宮 内 直 哉,50,14,7.08,5,0.29,
徳　山,6,予選,晴,北,5,5,01,1,3226,浦 田 信 義,44,21,7.13,1,0.21,1.53.5
徳　山,6,予選,晴,北,5,5,02,2,4638,小 林 遼 太,45,37,7.10,2,0.22,1.55.8
徳　山,6,予選,晴,北,5,5,03,3,3539,金 子 順 一,41,11,7.13,3,0.22,1.57.2
徳　山,6,予選,晴,北,5,5,04,5,5351,齊 藤 廉,32,68,7.09,6,0.26,1.58.5
徳　山,6,予選,晴,北,5,5,05,4,3621,天 野 晶 夫,26,19,7.14,4,0.27,
徳　山,6,予選,晴,北,5,5,06,6,4043,桐 本 康 臣,33,38,7.20,5,0.26,
徳　山,7,予選,晴,北,4,4,01,3,4184,渡 邊 雄一郎,37,25,7.05,3,0.18,1.52.0
徳　山,7,予選,晴,北,4,4,02,1,3681,山 谷 央,48,35,7.11,1,0.18,1.54.1
徳　山,7,予選,晴,北,4,4,03,6,3548,室 田 泰 史,19,26,7.07,6,0.22,1.55.2
徳　山,7,予選,晴,北,4,4,04,2,5071,野見山 拓 己,15,22,7.07,2,0.25,1.56.7
徳　山,7,予選,晴,北,4,4,05,4,4796,春 園 功 太,61,57,7.12,4,0.32,
徳　山,7,予選,晴,北,4,4,06,5,3617,竹 田 広 樹,55,20,7.10,5,0.29,
徳　山,8,予選,晴,北東,7,7,01,4,4357,田 中 和 也,42,23,7.07,4,0.23,1.53.6
徳　山,8,予選,晴,北東,7,7,02,5,4245,高 橋 直 哉,35,49,7.16,5,0.27,1.55.2
徳　山,8,予選,晴,北東,7,7,03,2,3703,鳥 飼 眞,29,60,7.14,2,0.23,1.56.3
徳　山,8,予選,晴,北東,7,7,04,3,3680,森 林 太,27,55,7.10,3,0.26,1.56.5
徳　山,8,予選,晴,北東,7,7,05,6,3848,川 上 聡 介,16,52,7.27,6,0.21,
徳　山,8,予選,晴,北東,7,7,06,1,4708,半 田 尚 也,47,54,7.17,1,0.23,
徳　山,9,狙いトク特賞,晴,北,7,7,01,1,3616,中 村 真,56,67,7.06,1,0.09,1.52.9
徳　山,9,狙いトク特賞,晴,北,7,7,02,5,5091,為 本 智 也,54,51,7.13,5,0.12,1.54.9
徳　山,9,狙いトク特賞,晴,北,7,7,03,2,4813,宮 内 直 哉,50,14,7.17,2,0.15,1.56.0
徳　山,9,狙いトク特賞,晴,北,7,7,04,3,4294,古 賀 繁 輝,58,18,7.06,3,0.14,1.56.2
徳　山,9,狙いトク特賞,晴,北,7,7,05,4,3964,宮 地 博 士,23,58,7.11,4,0.59,
徳　山,9,狙いトク特賞,晴,北,7,7,06,6,5376,吉 田 一 心,18,39,7.05,6,0.41,
徳　山,10,予選,晴,東,5,5,01,1,4962,畑 竜 生,60,13,6.99,1,0.16,1.52.2
徳　山,10,予選,晴,東,5,5,02,3,4022,待 鳥 雄 紀,39,69,7.00,3,0.19,1.54.2
徳　山,10,予選,晴,東,5,5,03,2,3340,池 田 雷 太,21,59,7.01,2,0.14,1.55.0
徳　山,10,予選,晴,東,5,5,04,5,5343,小 林 礼 央,40,44,6.97,6,0.22,1.56.2
徳　山,10,予選,晴,東,5,5,05,6,4594,谷 川 祐 一,34,24,7.01,5,0.21,
徳　山,10,予選,晴,東,5,5,06,4,3687,花 田 和 明,31,41,6.99,4,0.20,
徳　山,11,予選,晴,北東,5,5,01,3,4228,吉 田 慎二郎,51,12,7.14,3,0.10,1.51.4
徳　山,11,予選,晴,北東,5,5,02,4,4043,桐 本 康 臣,33,38,7.10,4,0.11,1.52.8
徳　山,11,予選,晴,北東,5,5,03,1,4866,橋 本 英 一,36,72,7.23,1,0.04,1.54.3
徳　山,11,予選,晴,北東,5,5,04,2,4416,三 宅 健 太,59,70,7.15,2,0.10,1.54.9
徳　山,11,予選,晴,北東,5,5,05,5,4006,小 野 勇 作,46,29,7.07,5,0.17,
徳　山,11,予選,晴,北東,5,5,06,6,5355,萩 原 丈太朗,17,36,7.07,6,0.16,
徳　山,12,ドリーム戦,晴,北,6,6,01,1,4503,上 野 真之介,53,32,7.09,1,0.19,1.52.7
徳　山,12,ドリーム戦,晴,北,6,6,02,5,4926,吉 川 貴 仁,49,33,7.00,5,0.29,1.54.0
徳　山,12,ドリーム戦,晴,北,6,6,03,2,3684,清 水 攻 二,24,73,7.06,2,0.33,1.55.2
徳　山,12,ドリーム戦,晴,北,6,6,04,4,4184,渡 邊 雄一郎,37,25,6.99,4,0.24,1.55.2
徳　山,12,ドリーム戦,晴,北,6,6,05,3,4409,坂 元 浩 仁,28,71,7.09,3,0.35,
徳　山,12,ドリーム戦,晴,北,6,6,06,6,3621,天 野 晶 夫,26,19,7.13,6,0.21,
鳴　門,1,一般,晴,北西,7,7,01,1,5038,金 田 智 博,59,68,7.15,1,0.23,1.51.6
鳴　門,1,一般,晴,北西,7,7,02,2,4691,水 原 慎,61,24,7.20,2,0.27,1.52.4
鳴　門,1,一般,晴,北西,7,7,03,3,3432,宮 迫 暢 彦,12,20,7.13,3,0.32,1.53.9
鳴　門,1,一般,晴,北西,7,7,04,5,4202,浮 田 圭 浩,67,19,7.29,5,0.36,1.55.3
鳴　門,1,一般,晴,北西,7,7,05,6,5011,高 木 圭 大,55,33,7.11,6,0.34,
鳴　門,1,一般,晴,北西,7,7,06,4,4844,村 上 奈 穂,24,65,7.18,4,0.36,
鳴　門,2,一般,晴,北西,9,9,01,1,4274,長 畑 友 輔,82,27,7.35,1,0.22,1.53.5
鳴　門,2,一般,晴,北西,9,9,02,3,4575,戸 塚 邦 好,60,15,7.30,3,0.17,1.54.0
鳴　門,2,一般,晴,北西,9,9,03,4,4665,加 藤 啓 太,27,26,7.28,4,0.27,1.55.7
鳴　門,2,一般,晴,北西,9,9,04,5,4302,西 野 翔 太,57,13,7.40,5,0.21,1.56.4
鳴　門,2,一般,晴,北西,9,9,05,2,4252,松 下 哲 也,65,57,7.47,2,0.22,
鳴　門,2,一般,晴,北西,9,9,06,6,4974,安 井 瑞 紀,31,10,7.21,6,0.25,
鳴　門,3,一般,晴,北西,9,9,01,1,5069,山 崎 小葉音,56,51,7.27,1,0.25,1.15.8
鳴　門,3,一般,晴,北西,9,9,02,2,3528,笠 野 友紀恵,14,56,7.14,2,0.30,1.16.6
鳴　門,3,一般,晴,北西,9,9,03,5,4014,片 岡 恵 里,37,67,7.19,4,0.29,1.16.8
鳴　門,3,一般,晴,北西,9,9,04,6,5326,三 嶌 さらら,19,54,7.16,5,0.30,1.18.0
鳴　門,3,一般,晴,北西,9,9,05,3,5317,長 尾 萌 加,39,81,7.15,3,0.41,
鳴　門,3,一般,晴,北西,9,9,06,4,5342,原 村 百 那,73,18,7.06,6,0.31,
鳴　門,4,一般,晴,北西,9,9,01,2,3441,土 屋 太 朗,58,72,7.14,2,0.28,1.14.5
鳴　門,4,一般,晴,北西,9,9,02,6,4269,杉 山 裕 也,70,58,7.14,6,0.27,1.15.1
鳴　門,4,一般,晴,北西,9,9,03,1,5218,山 田 理 央,54,34,7.18,1,0.25,1.15.4
鳴　門,4,一般,晴,北西,9,9,04,4,4752,西 尾 亮 輔,35,37,7.38,4,0.31,1.17.1
鳴　門,4,一般,晴,北西,9,9,05,5,3993,永 井 聖 美,23,61,7.24,5,0.27,
鳴　門,4,一般,晴,北西,9,9,06,3,3176,長谷川 巌,11,55,7.54,3,0.33,
鳴　門,5,一般,晴,北西,8,8,01,1,5114,小 林 孝 彰,52,70,7.07,1,0.15,1.14.2
鳴　門,5,一般,晴,北西,8,8,02,6,4704,河 野 大,50,52,7.01,5,0.10,1.14.9
鳴　門,5,一般,晴,北西,8,8,03,2,3615,横 田 茂,66,25,7.11,2,0.14,1.16.7
鳴　門,5,一般,晴,北西,8,8,04,5,3692,竹 腰 正 樹,18,31,7.18,4,0.23,1.17.5
鳴　門,5,一般,晴,北西,8,8,05,4,5011,高 木 圭 大,55,33,7.22,3,0.12,
鳴　門,6,一般,晴,北西,7,7,01,2,3837,秋 山 広 一,77,74,7.24,2,0.11,1.13.7
鳴　門,6,一般,晴,北西,7,7,02,1,4663,籾 山 佳 岳,75,11,7.21,1,0.07,1.15.0
鳴　門,6,一般,晴,北西,7,7,03,6,4732,堀 本 和 也,22,59,7.04,5,0.09,1.16.0
鳴　門,6,一般,晴,北西,7,7,04,4,4252,松 下 哲 也,65,57,7.22,4,0.10,1.17.3
鳴　門,6,一般,晴,北西,7,7,05,3,3414,加 瀬 智 宏,26,76,7.19,3,0.15,
鳴　門,6,一般,晴,北西,7,7,06,5,5219,森 口 和 紀,51,38,6.99,6,0.12,
鳴　門,7,一般,曇り,北西,7,7,01,1,4355,小 川 広 大,21,50,6.98,1,0.13,1.13.1
鳴　門,7,一般,曇り,北西,7,7,02,5,3432,宮 迫 暢 彦,12,20,6.99,5,0.02,1.13.5
鳴　門,7,一般,曇り,北西,7,7,03,6,4324,海 野 康志郎,71,28,7.02,6,0.04,1.15.4
鳴　門,7,一般,曇り,北西,7,7,04,4,4974,安 井 瑞 紀,31,10,6.98,4,0.14,1.16.3
鳴　門,7,一般,曇り,北西,7,7,05,3,3339,泉 具 巳,74,71,7.01,3,0.15,
鳴　門,7,一般,曇り,北西,7,7,06,2,4695,尾 崎 雄 二,33,64,7.03,2,0.21,
鳴　門,8,一般,晴,北西,6,6,01,5,4790,柳 内 敬 太,79,62,7.00,5,0.11,1.13.2
鳴　門,8,一般,晴,北西,6,6,02,6,4458,抹 香 雄 三,25,39,7.05,6,0.14,1.14.6
鳴　門,8,一般,晴,北西,6,6,03,4,5317,長 尾 萌 加,39,81,6.99,4,0.21,1.14.9
鳴　門,8,一般,晴,北西,6,6,04,1,4665,加 藤 啓 太,27,26,6.94,1,0.22,1.16.5
鳴　門,8,一般,晴,北西,6,6,05,2,4202,浮 田 圭 浩,67,19,7.02,2,0.28,
鳴　門,8,一般,晴,北西,6,6,06,3,4138,中 井 俊 祐,69,23,7.01,3,0.22,
鳴　門,9,一般,晴,北西,8,8,01,1,4863,三 浦 裕 貴,28,32,6.93,1,0.14,1.13.7
鳴　門,9,一般,晴,北西,8,8,02,2,3692,竹 腰 正 樹,18,31,7.02,2,0.18,1.14.8
鳴　門,9,一般,晴,北西,8,8,03,6,4752,西 尾 亮 輔,35,37,6.96,6,0.33,1.15.9
鳴　門,9,一般,晴,北西,8,8,04,4,4274,長 畑 友 輔,82,27,6.96,4,0.17,1.15.9
鳴　門,9,一般,晴,北西,8,8,05,5,4691,水 原 慎,61,24,6.99,5,0.26,
鳴　門,9,一般,晴,北西,8,8,06,3,3543,福 田 雅 一,16,30,7.02,3,0.22,
鳴　門,10,準優勝戦,曇り,北西,8,8,01,2,5219,森 口 和 紀,51,38,7.16,4,0.16,1.13.5
鳴　門,10,準優勝戦,曇り,北西,8,8,02,4,3441,土 屋 太 朗,58,72,7.16,3,0.25,1.14.8
鳴　門,10,準優勝戦,曇り,北西,8,8,03,5,3615,横 田 茂,66,25,7.09,5,0.23,1.15.9
鳴　門,10,準優勝戦,曇り,北西,8,8,04,1,4732,堀 本 和 也,22,59,7.07,1,0.19,1.16.5
鳴　門,10,準優勝戦,曇り,北西,8,8,05,3,4302,西 野 翔 太,57,13,7.10,2,0.21,
鳴　門,11,準優勝戦,晴,北西,6,6,01,3,4704,河 野 大,50,52,6.97,3,0.16,1.12.4
鳴　門,11,準優勝戦,晴,北西,6,6,02,1,4269,杉 山 裕 也,70,58,6.87,1,0.11,1.13.7
鳴　門,11,準優勝戦,晴,北西,6,6,03,4,4575,戸 塚 邦 好,60,15,7.11,4,0.17,1.15.1
鳴　門,11,準優勝戦,晴,北西,6,6,03,6,4695,尾 崎 雄 二,33,64,7.10,6,0.19,1.15.1
鳴　門,11,準優勝戦,晴,北西,6,6,05,5,5038,金 田 智 博,59,68,7.05,5,0.17,
鳴　門,11,準優勝戦,晴,北西,6,6,06,2,5218,山 田 理 央,54,34,6.92,2,0.11,
