レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
鳴　門,12,準優勝戦,曇り,北西,8,8,01,1,4324,海 野 康志郎,71,28,6.90,1,0.17,1.13.6
鳴　門,12,準優勝戦,曇り,北西,8,8,02,3,3837,秋 山 広 一,77,74,6.98,3,0.21,1.14.3
鳴　門,12,準優勝戦,曇り,北西,8,8,03,2,3993,永 井 聖 美,23,61,6.90,2,0.24,1.15.0
鳴　門,12,準優勝戦,曇り,北西,8,8,04,6,4355,小 川 広 大,21,50,6.94,6,0.26,1.16.0
鳴　門,12,準優勝戦,曇り,北西,8,8,05,4,5114,小 林 孝 彰,52,70,6.85,4,0.23,
鳴　門,12,準優勝戦,曇り,北西,8,8,06,5,4663,籾 山 佳 岳,75,11,7.07,5,0.23,
びわこ,1,予選,晴,西,4,4,01,2,4382,高 山 智 至,60,41,6.83,2,0.23,1.51.4
びわこ,1,予選,晴,西,4,4,02,1,3922,菅 沼 佳 昭,29,50,6.74,1,0.27,1.52.9
びわこ,1,予選,晴,西,4,4,03,3,3507,藤 井 徹,59,58,6.81,3,0.26,1.54.4
びわこ,1,予選,晴,西,4,4,04,4,3797,岩 井 繁,71,31,6.90,4,0.34,1.56.4
びわこ,1,予選,晴,西,4,4,05,5,4041,小 林 基 樹,18,37,6.85,5,0.35,
びわこ,1,予選,晴,西,4,4,06,6,5385,鈴 木 柊 介,31,57,6.80,6,0.35,
びわこ,2,予選,晴,西,4,4,01,6,5050,木 下 雄 介,14,60,6.86,5,0.26,1.50.4
びわこ,2,予選,晴,西,4,4,02,4,3251,平 石 和 男,62,48,6.79,4,0.28,1.51.7
びわこ,2,予選,晴,西,4,4,03,1,4211,村 田 敦,70,26,6.89,1,0.37,1.54.3
びわこ,2,予選,晴,西,4,4,04,2,4483,北 野 輝 季,11,19,6.71,2,0.46,1.57.0
びわこ,2,予選,晴,西,4,4,05,5,5266,石 田 勇 斗,48,38,6.75,6,0.41,
びわこ,2,予選,晴,西,4,4,06,3,4273,佐 藤 旭,32,51,6.79,3,0.39,
びわこ,3,予選,晴,西,5,4,01,4,5016,宮 田 龍 馬,54,55,6.81,5,0.15,1.50.7
びわこ,3,予選,晴,西,5,4,02,6,3721,守 田 俊 介,65,46,7.00,3,0.26,1.52.1
びわこ,3,予選,晴,西,5,4,03,1,4895,門 間 雄 大,53,71,6.82,1,0.21,1.53.7
びわこ,3,予選,晴,西,5,4,04,3,4367,山 口 修 路,63,63,6.80,4,0.25,1.54.0
びわこ,3,予選,晴,西,5,4,05,5,4731,間 野 兼 礼,16,30,6.79,6,0.19,
びわこ,3,予選,晴,西,5,4,06,2,4082,濱 崎 誠,22,69,6.89,2,0.36,
びわこ,4,予選,晴,北西,5,5,01,1,3612,馬 袋 義 則,39,14,6.90,1,0.40,1.57.1
びわこ,4,予選,晴,北西,5,5,02,3,4331,三 好 勇 人,45,32,6.93,3,0.30,2.00.6
びわこ,4,予選,晴,北西,5,5,03,6,4560,庄 司 樹良々,56,49,6.91,6,0.20,2.01.7
びわこ,4,予選,晴,北西,5,5,04,4,3831,安 藤 裕 貴,24,24,6.93,4,0.16,2.05.9
びわこ,4,予選,晴,北西,5,5,05,5,4631,新 井 英 孝,57,25,6.88,5,0.16,
びわこ,5,ゴゴイチびわ,晴,西,5,5,01,6,5229,吉 川 晴 人,12,23,6.87,5,0.16,1.50.5
びわこ,5,ゴゴイチびわ,晴,西,5,5,02,1,4348,宮 崎 奨,23,45,6.93,1,0.17,1.52.2
びわこ,5,ゴゴイチびわ,晴,西,5,5,03,2,5095,小 原 聡 将,46,65,6.83,2,0.16,1.53.2
びわこ,5,ゴゴイチびわ,晴,西,5,5,04,4,5096,上 原 崚,68,64,6.77,4,0.15,1.53.6
びわこ,5,ゴゴイチびわ,晴,西,5,5,05,3,3503,堂 原 洋 史,49,43,6.88,3,0.24,
びわこ,5,ゴゴイチびわ,晴,西,5,5,06,5,5385,鈴 木 柊 介,31,57,6.75,6,0.15,
びわこ,6,予選,晴,北西,6,5,01,3,4933,板 橋 侑 我,58,66,6.85,3,0.15,1.50.2
びわこ,6,予選,晴,北西,6,5,02,5,4500,山 田 康 二,43,20,6.83,4,0.22,1.51.8
びわこ,6,予選,晴,北西,6,5,03,2,4270,岸 本 雄 貴,17,72,6.90,2,0.21,1.53.0
びわこ,6,予選,晴,北西,6,5,04,4,4382,高 山 智 至,60,41,6.97,5,0.23,1.55.2
びわこ,6,予選,晴,北西,6,5,05,1,3875,廣 中 良 一,66,40,6.88,1,0.20,
びわこ,6,予選,晴,北西,6,5,06,6,5266,石 田 勇 斗,48,38,6.91,6,0.40,
びわこ,7,予選,晴,北西,6,6,01,4,5050,木 下 雄 介,14,60,6.93,4,0.12,1.50.0
びわこ,7,予選,晴,北西,6,6,02,3,3909,佐々木 康 幸,37,54,6.87,3,0.04,1.51.9
びわこ,7,予選,晴,北西,6,6,03,6,4824,松 井 洪 弥,15,34,6.87,6,0.24,1.53.3
びわこ,7,予選,晴,北西,6,6,04,1,3873,別 府 昌 樹,40,12,6.96,1,0.17,1.54.7
びわこ,7,予選,晴,北西,6,6,05,5,3922,菅 沼 佳 昭,29,50,6.94,5,0.17,
びわこ,7,予選,晴,北西,6,6,06,2,4007,榮 田 将 彦,38,29,6.90,2,0.14,
びわこ,8,予選,晴,西,6,6,01,5,4024,井 口 佳 典,73,52,6.70,5,0.28,1.13.4
びわこ,8,予選,晴,西,6,6,02,1,3831,安 藤 裕 貴,24,24,6.83,1,0.23,1.14.7
びわこ,8,予選,晴,西,6,6,03,6,3606,川 北 浩 貴,30,15,6.85,6,0.29,1.15.3
びわこ,8,予選,晴,西,6,6,04,2,4632,長 尾 京志郎,25,53,6.87,4,0.31,1.16.7
びわこ,8,予選,晴,西,6,6,05,4,3542,清 水 紀 克,41,61,6.89,3,0.30,
びわこ,8,予選,晴,西,6,6,06,3,4041,小 林 基 樹,18,37,6.88,2,0.40,
びわこ,9,予選特賞,晴,北西,6,6,01,3,3721,守 田 俊 介,65,46,6.75,3,0.18,1.12.7
びわこ,9,予選特賞,晴,北西,6,6,02,1,4880,澤 崎 雄 哉,50,27,6.85,1,0.13,1.13.7
びわこ,9,予選特賞,晴,北西,6,6,03,4,3612,馬 袋 義 則,39,14,6.70,4,0.22,1.15.1
びわこ,9,予選特賞,晴,北西,6,6,04,5,3797,岩 井 繁,71,31,6.76,5,0.27,1.15.7
びわこ,9,予選特賞,晴,北西,6,6,05,2,4106,坂 井 康 嗣,33,56,6.84,2,0.19,
びわこ,9,予選特賞,晴,北西,6,6,06,6,3699,富 永 正 人,64,47,6.77,6,0.41,
びわこ,10,予選特賞,晴,西,4,4,01,2,4500,山 田 康 二,43,20,6.84,2,0.21,1.13.0
びわこ,10,予選特賞,晴,西,4,4,02,3,4565,西 村 豪 洋,51,16,6.79,3,0.21,1.14.1
びわこ,10,予選特賞,晴,西,4,4,03,4,4367,山 口 修 路,63,63,6.81,4,0.21,1.15.0
びわこ,10,予選特賞,晴,西,4,4,04,1,3251,平 石 和 男,62,48,6.85,1,0.20,1.15.4
びわこ,10,予選特賞,晴,西,4,4,05,6,3918,深 井 利 寿,44,18,6.86,6,0.22,
びわこ,10,予選特賞,晴,西,4,4,06,5,3507,藤 井 徹,59,58,6.87,5,0.22,
びわこ,11,予選特選,晴,南西,5,4,01,1,3909,佐々木 康 幸,37,54,6.76,1,0.04,1.13.2
びわこ,11,予選特選,晴,南西,5,4,02,4,4483,北 野 輝 季,11,19,6.80,4,0.18,1.14.2
びわこ,11,予選特選,晴,南西,5,4,03,2,4631,新 井 英 孝,57,25,6.79,2,0.09,1.14.7
びわこ,11,予選特選,晴,南西,5,4,04,3,4270,岸 本 雄 貴,17,72,6.87,3,0.14,1.15.4
びわこ,11,予選特選,晴,南西,5,4,05,5,4895,門 間 雄 大,53,71,6.80,5,0.23,
びわこ,11,予選特選,晴,南西,5,4,06,6,5095,小 原 聡 将,46,65,6.86,6,0.20,
びわこ,12,予選特選,曇り,北西,5,4,01,1,4024,井 口 佳 典,73,52,6.73,1,0.18,1.12.8
びわこ,12,予選特選,曇り,北西,5,4,02,3,4560,庄 司 樹良々,56,49,6.84,3,0.26,1.13.7
びわこ,12,予選特選,曇り,北西,5,4,03,2,5016,宮 田 龍 馬,54,55,6.73,2,0.18,1.14.8
びわこ,12,予選特選,曇り,北西,5,4,04,5,4933,板 橋 侑 我,58,66,6.82,5,0.23,1.15.7
びわこ,12,予選特選,曇り,北西,5,4,05,6,4273,佐 藤 旭,32,51,6.81,6,0.28,
びわこ,12,予選特選,曇り,北西,5,4,06,4,4348,宮 崎 奨,23,45,6.87,4,0.26,
常　滑,1,予選,曇り,北西,5,3,01,1,3994,小 野 桜,50,64,6.77,1,0.11,1.52.0
常　滑,1,予選,曇り,北西,5,3,02,3,4289,落 合 直 子,16,41,6.81,3,0.14,1.53.2
常　滑,1,予選,曇り,北西,5,3,03,4,5156,坂 野 さくら,42,21,6.82,4,0.19,1.54.6
常　滑,1,予選,曇り,北西,5,3,04,2,4940,白 石 有 美,32,60,6.79,2,0.12,1.55.6
常　滑,1,予選,曇り,北西,5,3,05,6,3999,大 瀧 明日香,37,37,6.84,5,0.17,
常　滑,1,予選,曇り,北西,5,3,06,5,5362,中 嶋 世 奈,11,12,6.77,6,0.18,
常　滑,2,予選,晴,北西,5,3,01,1,4429,豊 田 泰 洋,48,72,6.72,1,0.21,1.50.9
常　滑,2,予選,晴,北西,5,3,02,2,4093,吉 田 宗 弘,10,50,6.75,3,0.18,1.53.5
常　滑,2,予選,晴,北西,5,3,03,6,4146,柳 橋 宏 紀,55,56,6.73,6,0.13,1.54.2
常　滑,2,予選,晴,北西,5,3,05,3,3315,広 瀬 聖 仁,47,25,6.76,2,0.18,
常　滑,3,予選,晴,北西,5,3,01,2,4778,堤 啓 輔,39,71,6.80,1,0.19,1.51.0
常　滑,3,予選,晴,北西,5,3,02,4,4407,鹿 島 敏 弘,20,39,6.78,4,0.24,1.52.4
常　滑,3,予選,晴,北西,5,3,03,3,3987,後 藤 正 宗,22,36,6.72,3,0.23,1.54.1
常　滑,3,予選,晴,北西,5,3,04,1,5331,佐 藤 永 梧,38,13,6.74,2,0.20,1.55.4
常　滑,3,予選,晴,北西,5,3,05,5,4231,鈴 木 裕 隆,30,18,6.75,5,0.24,
常　滑,3,予選,晴,北西,5,3,06,6,5162,松 尾 怜 実,44,22,6.77,6,0.26,
常　滑,4,予選,晴,北西,7,5,01,1,4234,野 相 弘 司,61,49,6.62,4,0.03,1.52.2
常　滑,4,予選,晴,北西,7,5,02,2,4356,長 岡 良 也,59,32,6.76,1,0.19,1.54.2
常　滑,4,予選,晴,北西,7,5,03,5,4512,高 野 哲 史,14,15,6.81,5,0.03,1.55.0
常　滑,4,予選,晴,北西,7,5,04,4,4550,石 岡 将 太,36,27,6.84,3,0.11,1.56.4
常　滑,4,予選,晴,北西,7,5,05,6,4681,太 田 潮,28,42,6.81,6,0.05,
常　滑,4,予選,晴,北西,7,5,06,3,3630,黒 田 誠 司,49,29,6.83,2,0.15,
常　滑,5,予選,晴,北西,7,5,01,1,4143,浦 田 晃 嗣,34,52,6.66,1,0.23,1.15.5
常　滑,5,予選,晴,北西,7,5,02,2,4739,中 村 晃 朋,23,14,6.74,2,0.25,1.16.0
常　滑,5,予選,晴,北西,7,5,03,5,4486,野 村 誠,56,59,6.79,5,0.25,1.16.7
常　滑,5,予選,晴,北西,7,5,04,4,4656,大 崎 翔,19,44,6.78,4,0.20,1.16.9
常　滑,5,予選,晴,北西,7,5,05,6,4469,土 山 卓 也,12,20,6.77,6,0.26,
常　滑,5,予選,晴,北西,7,5,06,3,3704,本 部 めぐみ,54,62,6.78,3,0.23,
常　滑,6,予選,晴,北西,7,5,01,4,5010,宇留田 翔 平,52,51,6.71,4,0.18,1.14.5
常　滑,6,予選,晴,北西,7,5,02,5,4093,吉 田 宗 弘,10,50,6.75,5,0.23,1.16.0
常　滑,6,予選,晴,北西,7,5,03,6,5362,中 嶋 世 奈,11,12,6.72,6,0.19,1.16.7
常　滑,6,予選,晴,北西,7,5,04,3,3948,大 町 利 克,35,38,6.79,3,0.30,1.17.1
常　滑,6,予選,晴,北西,7,5,05,2,4435,服 部 達 哉,33,31,6.75,2,0.28,
常　滑,6,予選,晴,北西,7,5,06,1,4834,浜 本 裕 己,13,58,6.63,1,0.24,
常　滑,7,予選,晴,北西,7,5,01,1,4407,鹿 島 敏 弘,20,39,6.70,1,0.18,1.14.2
常　滑,7,予選,晴,北西,7,5,02,4,4429,豊 田 泰 洋,48,72,6.72,4,0.14,1.15.0
常　滑,7,予選,晴,北西,7,5,05,6,4422,永 井 亮 次,21,24,6.75,6,0.22,
常　滑,7,予選,晴,北西,7,5,06,2,3994,小 野 桜,50,64,6.72,2,0.24,
常　滑,8,予選,晴,北西,7,5,01,2,4681,太 田 潮,28,42,6.74,2,0.01,1.14.4
常　滑,8,予選,晴,北西,7,5,02,4,4289,落 合 直 子,16,41,6.76,4,0.05,1.15.9
常　滑,9,予選特賞,晴,北,6,4,01,3,4231,鈴 木 裕 隆,30,18,6.82,3,0.29,1.13.2
常　滑,9,予選特賞,晴,北,6,4,02,1,4656,大 崎 翔,19,44,6.79,1,0.19,1.14.2
常　滑,9,予選特賞,晴,北,6,4,03,2,3630,黒 田 誠 司,49,29,6.87,2,0.24,1.15.9
常　滑,9,予選特賞,晴,北,6,4,04,6,5156,坂 野 さくら,42,21,6.81,6,0.30,1.16.3
常　滑,9,予選特賞,晴,北,6,4,05,4,3315,広 瀬 聖 仁,47,25,6.83,5,0.29,
常　滑,9,予選特賞,晴,北,6,4,06,5,4739,中 村 晃 朋,23,14,6.80,4,0.36,
常　滑,10,予選特賞,晴,北,6,4,01,4,4234,野 相 弘 司,61,49,6.66,5,0.24,1.13.4
常　滑,10,予選特賞,晴,北,6,4,03,3,5162,松 尾 怜 実,44,22,6.81,6,0.21,1.16.0
常　滑,10,予選特賞,晴,北,6,4,04,6,3948,大 町 利 克,35,38,6.83,4,0.44,1.16.1
常　滑,10,予選特賞,晴,北,6,4,05,5,4940,白 石 有 美,32,60,6.80,3,0.30,
常　滑,10,予選特賞,晴,北,6,4,06,2,4469,土 山 卓 也,12,20,6.76,2,0.30,
常　滑,11,予選特選,晴,北,5,4,01,4,3999,大 瀧 明日香,37,37,6.81,4,0.21,1.13.1
常　滑,11,予選特選,晴,北,5,4,02,1,4486,野 村 誠,56,59,6.74,1,0.22,1.14.1
常　滑,11,予選特選,晴,北,5,4,03,3,4550,石 岡 将 太,36,27,6.76,3,0.18,1.15.0
常　滑,11,予選特選,晴,北,5,4,04,5,4435,服 部 達 哉,33,31,6.88,5,0.23,1.16.6
常　滑,11,予選特選,晴,北,5,4,05,6,4778,堤 啓 輔,39,71,6.84,6,0.32,
常　滑,11,予選特選,晴,北,5,4,06,2,4422,永 井 亮 次,21,24,6.79,2,0.27,
常　滑,12,予選特選,晴,北,5,4,02,4,4512,高 野 哲 史,14,15,6.73,3,0.19,1.14.4
常　滑,12,予選特選,晴,北,5,4,03,2,3987,後 藤 正 宗,22,36,6.68,2,0.16,1.15.5
常　滑,12,予選特選,晴,北,5,4,04,6,5010,宇留田 翔 平,52,51,6.75,5,0.29,1.16.6
常　滑,12,予選特選,晴,北,5,4,05,5,4146,柳 橋 宏 紀,55,56,6.71,4,0.21,
常　滑,12,予選特選,晴,北,5,4,06,3,4461,安 田 吉 宏,24,57,6.69,6,0.31,
江戸川,1,予選,晴,北,2,5,01,1,3850,小 川 知 行,21,50,6.58,1,0.17,1.52.8
江戸川,1,予選,晴,北,2,5,02,2,4457,神 田 達 也,65,68,6.68,2,0.21,1.54.8
江戸川,1,予選,晴,北,2,5,03,4,3602,奥 平 拓 也,69,62,6.65,4,0.24,1.55.2
江戸川,1,予選,晴,北,2,5,04,6,4197,渥 美 卓 郎,54,28,6.56,6,0.23,1.56.0
江戸川,1,予選,晴,北,2,5,05,5,3313,本 吉 正 樹,51,69,6.56,5,0.29,
江戸川,1,予選,晴,北,2,5,06,3,3482,金 子 猛 志,70,32,6.62,3,0.21,
江戸川,2,予選,晴,南西,3,5,01,1,3696,白 井 友 晴,50,34,6.67,1,0.24,1.53.6
江戸川,2,予選,晴,南西,3,5,02,6,4118,宇佐見 淳,31,45,6.65,6,0.14,1.54.6
江戸川,2,予選,晴,南西,3,5,03,3,4865,立 具 敬 司,15,57,6.58,3,0.32,1.56.7
江戸川,2,予選,晴,南西,3,5,04,2,3105,内 山 文 典,57,40,6.61,2,0.21,1.57.1
江戸川,2,予選,晴,南西,3,5,05,4,4982,中 村 将 隆,33,55,6.65,4,0.21,
江戸川,2,予選,晴,南西,3,5,06,5,4529,嶋 義 信,43,17,6.68,5,0.18,
江戸川,3,予選,晴,南西,3,5,01,2,4067,永 井 源,32,36,6.73,2,0.20,1.53.0
江戸川,3,予選,晴,南西,3,5,02,1,4568,廣 瀬 真 也,61,21,6.68,1,0.13,1.53.7
江戸川,3,予選,晴,南西,3,5,03,4,3796,長 野 道 臣,68,26,6.72,4,0.17,1.57.3
江戸川,3,予選,晴,南西,3,5,04,3,4623,中 北 将 史,60,30,6.71,3,0.17,1.58.1
江戸川,3,予選,晴,南西,3,5,05,5,3868,尾 形 栄 治,52,31,6.83,5,0.22,
江戸川,3,予選,晴,南西,3,5,06,6,5341,山 道 諄 也,49,51,6.91,6,0.42,
江戸川,4,予選,曇り,南,5,5,01,1,4023,柴 田 友 和,39,35,6.73,1,0.05,1.54.1
江戸川,4,予選,曇り,南,5,5,02,5,4610,佐 藤 大 佑,12,58,6.96,5,0.17,1.55.4
江戸川,4,予選,曇り,南,5,5,03,6,4452,松 尾 祭,34,18,6.83,6,0.21,1.56.6
江戸川,4,予選,曇り,南,5,5,04,3,3869,井 芹 大 志,53,29,6.78,3,0.16,1.58.3
江戸川,4,予選,曇り,南,5,5,05,2,4850,野 中 一 平,55,11,6.79,2,0.05,
江戸川,4,予選,曇り,南,5,5,06,4,5301,岩 下 巧 斗,66,13,6.77,4,0.19,
江戸川,5,予選,曇り,南西,4,10,01,1,3690,河 合 三 弘,29,54,6.87,1,0.14,1.54.5
江戸川,5,予選,曇り,南西,4,10,02,3,4877,鈴 谷 一 平,45,64,6.79,3,0.07,1.56.2
江戸川,5,予選,曇り,南西,4,10,03,2,4786,佐 藤 博 亮,46,56,6.84,2,0.07,1.58.4
江戸川,5,予選,曇り,南西,4,10,04,5,3602,奥 平 拓 也,69,62,6.85,5,0.13,1.59.5
江戸川,5,予選,曇り,南西,4,10,05,4,4327,加 藤 翔,62,12,6.79,4,0.08,
江戸川,5,予選,曇り,南西,4,10,06,6,5157,市 川 健 太,17,60,6.74,6,0.12,
江戸川,6,予選,曇り,南,5,10,01,3,5065,伊久間 陽 優,36,41,6.92,3,0.12,1.54.7
江戸川,6,予選,曇り,南,5,10,02,6,5047,國 分 将太郎,30,10,6.79,6,0.13,1.55.8
江戸川,6,予選,曇り,南,5,10,03,1,3807,岡 部 哲,28,47,7.08,1,0.13,1.57.4
江戸川,6,予選,曇り,南,5,10,04,5,4761,山 田 晃 大,10,20,6.91,5,0.11,1.58.9
江戸川,6,予選,曇り,南,5,10,05,4,5210,藤 井 公 人,71,61,6.69,4,0.13,
江戸川,6,予選,曇り,南,5,10,06,2,4619,伏 田 裕 隆,58,14,6.91,2,0.22,
江戸川,7,予選,曇り,南,4,10,01,1,5115,香 川 颯 太,26,38,6.78,1,0.12,1.55.5
江戸川,7,予選,曇り,南,4,10,02,4,4457,神 田 達 也,65,68,6.97,4,0.28,1.56.6
江戸川,7,予選,曇り,南,4,10,03,2,5039,倉 田 茂 将,35,23,6.99,2,0.17,1.56.8
江戸川,7,予選,曇り,南,4,10,04,3,3105,内 山 文 典,57,40,6.86,3,0.23,1.58.5
江戸川,7,予選,曇り,南,4,10,05,5,4808,松 尾 拓,40,15,7.09,5,0.63,
江戸川,7,予選,曇り,南,4,10,06,6,5341,山 道 諄 也,49,51,6.81,6,0.26,
江戸川,8,予選,曇り,南西,4,15,01,1,3869,井 芹 大 志,53,29,6.95,1,0.06,1.54.5
江戸川,8,予選,曇り,南西,4,15,02,6,3740,大 澤 普 司,24,53,7.17,6,0.04,1.55.3
江戸川,8,予選,曇り,南西,4,15,03,5,4363,大 野 芳 顕,13,59,6.91,5,0.03,1.56.7
江戸川,8,予選,曇り,南西,4,15,04,3,3313,本 吉 正 樹,51,69,7.10,3,0.07,1.58.2
江戸川,8,予選,曇り,南西,4,15,05,2,4865,立 具 敬 司,15,57,6.83,2,0.14,
江戸川,8,予選,曇り,南西,4,15,06,4,4623,中 北 将 史,60,30,6.93,4,0.03,
江戸川,9,予選特賞,晴,南,4,15,01,1,4295,小 坂 尚 哉,18,16,6.92,1,0.08,1.53.1
江戸川,9,予選特賞,晴,南,4,15,02,3,3796,長 野 道 臣,68,26,6.83,3,0.08,1.55.3
江戸川,9,予選特賞,晴,南,4,15,03,5,4786,佐 藤 博 亮,46,56,6.90,5,0.11,1.55.5
江戸川,9,予選特賞,晴,南,4,15,04,2,5008,羽 野 諒,23,66,6.84,2,0.18,1.57.4
江戸川,9,予選特賞,晴,南,4,15,05,6,5301,岩 下 巧 斗,66,13,6.96,6,0.27,
江戸川,9,予選特賞,晴,南,4,15,06,4,4529,嶋 義 信,43,17,7.02,4,0.14,
江戸川,10,予選特賞,曇り,北,8,10,01,4,4761,山 田 晃 大,10,20,6.87,4,0.18,1.55.4
江戸川,10,予選特賞,曇り,北,8,10,02,3,4610,佐 藤 大 佑,12,58,6.84,3,0.26,1.57.5
江戸川,10,予選特賞,曇り,北,8,10,03,2,4568,廣 瀬 真 也,61,21,6.80,2,0.25,1.58.0
江戸川,10,予選特賞,曇り,北,8,10,04,1,5034,若 林 義 人,22,43,6.86,1,0.27,1.59.7
江戸川,10,予選特賞,曇り,北,8,10,05,5,4327,加 藤 翔,62,12,6.77,5,0.37,
江戸川,10,予選特賞,曇り,北,8,10,06,6,3482,金 子 猛 志,70,32,7.08,6,0.47,
